"共有商品 19 樣，熱賣 6 樣，價格異動 5 樣

Celeron DC-E1400雙核心,2.0GHz,512K,800MHz .65奈米, $1470

E5200/2.5/2M/800MHZ/775新架構 45nm, $2300↗$2320 ★ 熱賣
E5300/2.6/2M/800MHZ/775新架構 45nm, $2600 熱賣

Intel Core2 E7400 2.80G/1066FSB/雙核心/45奈米/3M, $3900↗$3990 熱賣

Intel Q8200 2.33G/1333FSB/四核心/4M快取/.45nm製程 , $5550↗$5600 ★ 熱賣
Intel Q8300 2.50G/1333FSB/四核心/4M快取/.45nm製程 , $6350
Intel Q9400 2.66G/1333FSB/四核心/6M快取/.45nm製程 , $7350 ★ 熱賣
Intel Q9550 2.83G/1333FSB/四核心/12M快取/.45nm製程 , $9050↗$9100 ★ 熱賣

Intel i7-920 2.66G/4.8FSB/8M/LGA1366, $9550 ★

AMD AM2 5200+ 2.7G/盒裝/雙核心/65W/512K*2/65K奈米製程, $1950↗$1980
AMD AM2 5600+ 2.9G/盒裝/雙核心/65W/512K*2/65K奈米製程, $2300 ★
AMD AM2 6000+ 3G/盒裝/雙核心/125W/1M*2/90奈米製程, $2650 ★
AMD AM2 7750黑盒+ 2.7G/盒裝/雙核心/95W/65K奈米製程/L2+L3=3MB, $2800
AMD AM2 4850E 2.5G/盒裝/45W/65製程/512*2, $1850 ★
AMD AM2 5050E 2.6G/盒裝/45W/65製程/512*2, $2050 ★

AMD AM2+ HD8450/2.1G/三核心/95W/65nm, $2880 ★

AMD AM2+ HD9650 2.3G/盒裝/四核心/95W/65nm/L2+L3=4MB, $4450 ★

AMD AM2+ PhenomII 四核心 X4-920/2.8G/125W/45nm/L2+L3=8MB, $7100
AMD AM2+ PhenomII 四核心 X4-940/3.0G/125W/45nm/L2+L3=8MB, $8300



12345678910"
