name,price
Celeron DC-E1400雙核心 2.0GHz/512K/800MHz .65奈米, 1550

E5200/2.5G/2M/800MHZ/775新架構 45nm, 2350↗2380 
E5300/2.6G/2M/800MHZ/775新架構 45nm, 2680
E5400/2.7G/2M/800MHZ/775新架構 45nm, 3080
Intel Core2 E7400 2.80G/1066FSB/雙核心/45奈米/3M, 4050
Intel Core2 E7500 2.93G/1066FSB/雙核心/45奈米/3M, 4680
Intel Core 2 Duo E8400-E0版 3.0G/1333MHz/雙核心/45奈米/6M, 6000
Intel Core 2 Duo E8500-E0版 3.16G/1333MHz/雙核心/45奈米/6M, 6750

Intel Q8200 2.33G/1333FSB/四核心/4M快取/.45nm製程 , 5600 
Intel Q8300 2.50G/1333FSB/四核心/4M快取/.45nm製程 , 6350
Intel Q9400 2.66G/1333FSB/四核心/6M快取/.45nm製程 , 7380 
Intel Q9550 2.83G/1333FSB/四核心/12M快取/.45nm製程 , 9450 

Intel i7-920 2.66G/4.8FSB/8M/LGA1366, 9800 
Intel i7-940 2.66G/4.8FSB/8M/LGA1366, 19000 

AMD AM2 5200+ 2.7G/盒裝/雙核心/65W/512K*2/65K奈米製程, 1980↗2000
AMD AM2 7750黑盒+ 2.7G/盒裝/雙核心/95W/65K奈米製程/L2+L3=3MB, 2400↗2450

AMD AM2+ HD8650/2.3G/三核心/95W/65nm, 3100↘3050

AMD AM2+ HD9650 2.3G/盒裝/四核心/95W/65nm/L2+L3=4MB, 4250↘4200 
AMD AM2+ HD9950 2.6G/盒裝/四核心/95W/65nm/L2+L3=4MB, 5300↘5250

AMD AM2+ PhenomII 四核心 X4-920/2.8G/125W/45nm/L2+L3=8MB, 6750↘6650
AMD AM2+ PhenomII 四核心 X4-940/3.0G/125W/45nm/L2+L3=8MB, 7750↘7650

AMD AM3 PhenomII 三核心 X3-710/2.6G/95W/45nm/L3 Cache 6MB, 4390↘4350
AMD AM3 PhenomII 三核心 X3-720黑盒/2.8G/95W/45nm/L3 Cache 6MB, 4990↘4950

AMD AM3 PhenomII 四核心 X4-810/2.6G/95W/45nm/L3 Cache 4MB, 5990↘5950
