"共有商品 23 樣，熱賣 7 樣，價格異動 18 樣

Celeron DC-E1400雙核心,2.0GHz,512K,800MHz .65奈米, $1500↘$1470 ★

E5200/2.5G/2M/800MHZ/775新架構 45nm, $2200↘$2170 ★ 熱賣
E5300/2.6G/2M/800MHZ/775新架構 45nm, $2580↘$2480 ★ 熱賣
Pentium E6300 2.80G/1066FSB/雙核心/45nm/2M, $2750↘$2680 ★ 熱賣
Intel Core2 E7400 2.80G/1066FSB/雙核心/45奈米/3M, $3750↘$3690 ★ 熱賣
Intel Core2 E7500 2.93G/1066FSB/雙核心/45奈米/3M, $4650↘$4550 ★
Intel Core 2 Duo E8400-E0版 3.0G/1333MHz/雙核心/45奈米/6M

, $5650 ★
Intel Core 2 Duo E8500-E0版 3.16G/1333MHz/雙核心/45奈米/6M

, $6480 ★

Intel Q8200 2.33G/1333FSB/四核心/4M快取/.45nm製程 , $5200↘$5150 ★ 熱賣
Intel Q8400 2.66G/1333FSB/四核心/4M快取/.45nm製程 , $5990↘$5950 ★
Intel Q9400 2.66G/1333FSB/四核心/6M快取/.45nm製程 , $7100↘$6950 ★ 熱賣
Intel Q9550-E0版 2.83G/1333FSB/四核心/12M快取/.45nm製程 , $9050↘$8990 ★ 熱賣

Intel i7-920-D0版(SLBEJ) 2.66G/4.8FSB/8M/LGA1366, $9350 ★

AMD AM2 5200+ 2.7G/盒裝/雙核心/65W/512K*2/65K奈米製程, $1880 ★
AMD AM2 775Z黑盒+ 2.7G/盒裝/雙核心/95W/65K奈米製程/L2+L3=3MB, $1990↘$1980 ★
AMD AM2 785Z黑盒+ 2.8G/盒裝/雙核心/95W/65K奈米製程/L2+L3=3MB, $2200↘$2150 ★

AMD AM2+ HD8650/2.3G/三核心/95W/65nm, $2650↘$2600 ★
AMD AM2+ HD9950 2.6G/四核心/95W/65nm/L2+L3=4MB, $4850 ★
AMD AM2+ PhenomII 四核心 X4-940/3.0G/125W/45nm/L2+L3=8MB, $6300↘$6250 ★

AMD AM3 PhenomII 三核心 X3-710/2.6G/95W/45nm/L3 Cache 6MB, $3850↘$3800 ★
AMD AM3 PhenomII 三核心 X3-720黑盒/2.8G/95W/45nm/L3 Cache 6MB, $4500↘$4450 ★
AMD AM3 PhenomII 四核心 X4-810/2.6G/95W/45nm/L3 Cache 4MB, $5500↘$5450 ★
AMD AM3 PhenomII 四核心 X4-955黑盒/3.2G/125W/45nm/L2+L3=8MB, $8100↘$8050 ★



12345678910"
