"共有商品 21 樣，熱賣 9 樣，價格異動 9 樣

Celeron DC-E1500雙核心,2.2GHz,512K,800MHz .65奈米, $1480 ★ 熱賣

E5300/2.6G/2M/800MHZ/775新架構 45nm, $2250↘$2200 ★ 熱賣
Pentium E6300 2.80G/1066FSB/雙核心/45nm/2M, $2650 ★ 熱賣
Intel Core2 E7500 2.93G/1066FSB/雙核心/45奈米/3M, $3950↘$3900 ★ 熱賣
Intel Core2 E7600 3.06G/1066FSB/雙核心/45奈米/3M, $4650 ★
Intel Core 2 Duo E8400-E0版 3.0G/1333MHz/雙核心/45奈米/6M

, $5550 ★
Intel Core 2 Duo E8500-E0版 3.16G/1333MHz/雙核心/45奈米/6M

, $6400 ★

Intel Q8200 2.33G/1333FSB/四核心/4M快取/.45nm製程 , $5100↘$4990 ★ 熱賣
Intel Q8400 2.66G/1333FSB/四核心/4M快取/.45nm製程 , $5450 ★
Intel Q9400 2.66G/1333FSB/四核心/6M快取/.45nm製程 , $6150 ★ 熱賣
Intel Q9550 2.83G/1333FSB/四核心/12M快取/.45nm製程 , $7300↗$7350 ★ 熱賣

Intel i7-920-D0版(SLBEJ) 2.66G/4.8FSB/8M/LGA1366, $9300↘$9250 ★

AMD AM2 5200+ 散裝無風扇 2.7G /雙核心/65W 1M快取 全新一年保固, $1880 ★

AMD AM2+ HD9650 2.3G/四核心/95W/65nm/L2+L3=4MB, $3850↘$3600 ★

AMD AM3 AthlonII X2-245/2.9G/65W/45nm/L2 Cache 1MB*2, $2150↗$2180 ★ 熱賣
AMD AM3 AthlonII X2-250/3.0G/65W/45nm/L2 Cache 1MB*2, $2700↘$2650 ★
AMD AM3 PhenomII X2-550黑盒/3.1G/80W/45nm/L3 Cache 6MB, $3250 ★ 熱賣
AMD AM3 PhenomII 三核心 X3-710/2.6G/95W/45nm/L3 Cache 6MB, $3650 ★
AMD AM3 PhenomII 三核心 X3-720黑盒/2.8G/95W/45nm/L3 Cache 6MB, $4250 ★
AMD AM3 PhenomII 四核心 X4-810/2.6G/95W/45nm/L3 Cache 4MB, $5250 ★
AMD AM3 PhenomII 四核心 X4-905E/2.5G/65W/45nm/L2+L3=8MB(低功耗), $6200↘$5950 ★



12345678910"
