"共有商品 27 樣，熱賣 10 樣，價格異動 16 樣

Celeron DC-E1500雙核心,2.2GHz,512K,800MHz .65奈米, $1450 ★
Celeron DC-E3200雙核心,2.4GHz,1M,800MHz .45奈米, $1550

E5300/2.6G/2M/800MHZ/775新架構 45nm, $2180 ★ 熱賣
Pentium E6300 2.80G/1066FSB/雙核心/45nm/2M, $2580↘$2550 ★ 熱賣
Pentium E6500 2.93G/1066FSB/雙核心/45nm/2M, $3000 ★ 熱賣
Intel Core2 E7500 2.93G/1066FSB/雙核心/45奈米/3M, $3880↘$3850 ★ 熱賣
Intel Core2 E7600 3.06G/1066FSB/雙核心/45奈米/3M, $4650↘$4600 ★
Intel Core 2 Duo E8400-E0版 3.0G/1333MHz/雙核心/45奈米/6M

, $5600 ★

Intel Q8200 2.33G/1333FSB/四核心/4M快取/.45nm製程 , $4950 ★ 熱賣
Intel Q8400 2.66G/1333FSB/四核心/4M快取/.45nm製程 , $5400↘$5350 ★
Intel Q9400 2.66G/1333FSB/四核心/6M快取/.45nm製程 , $6100↘$6050 ★ 熱賣
Intel Q9550 2.83G/1333FSB/四核心/12M快取/.45nm製程 , $7300 ★ 熱賣

Intel i7-920-D0版(SLBEJ) 2.66G/4.8FSB/8M/LGA1366, $9200↘$9150 ★

 Intel I5-750盒裝Core,2.66GHz,8M cache/九月三日正式上市.請內洽!, $6700 ★
 Intel I7-860盒裝Core,2.80GHz,8M cache/九月三日正式上市.請內洽!, $9700 ★
 Intel I7-870盒裝Core,2.93GHz,8M cache/九月三日正式上市.請內洽!, $19500 ★

AMD AM2 5200+ 散裝無風扇 2.7G /雙核心/65W 1M快取 全新一年保固, $1880 ★

AMD AM2+ HD9650 2.3G/四核心/95W/65nm/L2+L3=4MB, $3550↘$3530 ★

AMD AM3 AthlonII X2-240/2.8G/65W/45nm/L2 Cache 1MB*2, $2050↘$1970 ★ 熱賣
AMD AM3 AthlonII X2-245/2.9G/65W/45nm/L2 Cache 1MB*2, $2180↘$2130 ★ 熱賣
AMD AM3 AthlonII X2-250/3.0G/65W/45nm/L2 Cache 1MB*2, $2550↘$2500 ★
AMD AM3 PhenomII X2-550黑盒/3.1G/80W/45nm/L3 Cache 6MB, $3250↘$3200 ★ 熱賣
AMD AM3 PhenomII 三核心 X3-710/2.6G/95W/45nm/L3 Cache 6MB, $3500↘$3450 ★
AMD AM3 PhenomII 三核心 X3-720黑盒/2.8G/95W/45nm/L3 Cache 6MB, $4250↘$4150 ★
AMD AM3 PhenomII 四核心 X4-945/3.0G/125W/45nm/L2+L3=8MB, $5600↘$5500 ★
AMD AM3 PhenomII 四核心 X4-955黑盒/3.2G/125W/45nm/L2+L3=8MB, $6250↘$6150 ★
AMD AM3 PhenomII 四核心 X4-905E/2.5G/65W/45nm/L2+L3=8MB(低功耗), $5500↘$5470 ★



12345678910"
