"共有商品 40 樣，熱賣 17，圖片 40，討論 10

Celeron DC-E3400雙核，2.6GHz/1M/800/45奈米, $1350 ★

Pentium E6600雙核 3.06G/2M快取/1066FSB/45nm, $1950 ★ 熱賣
Pentium E6700雙核 3.2G/2M快取/1066FSB/45nm, $2350 ★ 熱賣

Intel i7-960 四核3.2G(TURBO 3.46GHz)/L3=8M/LGA1366, $9350 ★
Intel i7-990X Extreme黑盒 六核 3.46G 12M 32奈米【紅綠配享優惠】, $32500 ★

Intel Core i3-540雙核 3.06GHz/4M快取/1333/支援HT技術(K0版本), $3150 ★

Intel Core i5-760四核 2.8GHz/8M快取, $6150 ★

Intel 第二代Pentium G620雙核 2.6GHz/65W/32nm/3M cache, $2050 ◆ ★ 熱賣
Intel 第二代Pentium G840雙核 2.8GHz/65W/32nm/3M cache, $2350 ◆ ★ 熱賣
Intel 第二代Pentium G850雙核 2.9GHz/65W/32nm/3M cache, $2680 ◆ ★
Intel 第二代Core I3-2100雙核 3.1GHz/65W/32nm/3M cache, $3400 ◆ ★ 熱賣
Intel 第二代Core I3-2120雙核 3.3GHz/65W/32nm/3M cache, $4220 ◆ ★
Intel 第二代Core I5-2310四核 2.9GHz(Turbo 3.2GHz)/HD2000 GPU, $5320 ★
Intel 第二代Core I5-2400四核 3.1GHz(Turbo 3.4GHz)/HD2000 GPU, $5550 ◆ ★ 熱賣
Intel 第二代Core I5-2500四核 3.3GHz(Turbo 3.7GHz)/HD2000 GPU, $6150 ◆ ★ 熱賣
Intel 第二代Core I5-2500K四核 3.3GHz(Turbo 3.7GHz)/HD3000 GPU, $6600 ◆ ★ 熱賣
Intel 第二代Core I7-2600四核 3.4GHz(Turbo 3.8GHz)/HD2000 GPU, $9100 ◆ ★ 熱賣
Intel 第二代Core I7-2600K四核 3.4GHz(Turbo 3.8GHz)/HD3000 GPU, $9800 ◆ ★ 熱賣

AMD AM3 AthlonII X2-250雙核/3.0G/65W/45nm/L2 Cache 1MB*2, $1650 ★ 熱賣
AMD AM3 AthlonII X2-255雙核/3.1G/65W/45nm/L2 Cache 1MB*2, $1700 ★
AMD AM3 AthlonII X2-260雙核/3.2G/65W/45nm/L2 Cache 1MB*2, $1830 ★
AMD AM3 AthlonII X2-265雙核/3.3G/65W/45nm/L2 Cache 1MB*2, $1930 ★
AMD AM3 AthlonII X2-270雙核/3.4G/65W/45nm/L2 Cache 1MB*2, $1990 ★
AMD AM3 AthlonII X3-455三核/3.3G/95W/45nm/L2 Cache 512KB*3, $2300 ★ 熱賣
AMD AM3 AthlonII X4-605E(散裝含風扇)/2.3G/45W/512KB*4(C3版)代理商公司貨, $2700 ★ 熱賣
AMD AM3 AthlonII X4-640四核/3.0G/95W/45nm/L2 Cache 512KB*4(C3版), $2900 ★
AMD AM3 AthlonII X4-645四核/3.1G/95W/45nm/L2 Cache 512KB*4(C3版), $3000 ★
AMD AM3 PhenomII X4-840四核/3.2G/95W/45nm/(C3版), $2990 ★ 熱賣
AMD AM3 PhenomII 四核X4-955黑盒/3.2G/125W/45nm/(C3版)【紅綠配享優惠】, $3430 ★ 熱賣
AMD AM3 PhenomII 四核X4-965黑盒/3.4G/125W/45nm/L2+L3=8MB(C3版), $3800 ★
AMD AM3 PhenomII 四核X4-970黑盒/3.5G/125W/45nm/L2+L3=8MB(C3版), $4500 ★
AMD AM3 PhenomII 四核X4-975黑盒/3.6G/125W/45nm/L2+L3=8MB(C3版), $4990 ★ 熱賣
AMD AM3 PhenomII 四核X4-980黑盒/3.7G/125W/45nm/L2+L3=8MB(C3版), $5350 ★
AMD AM3 Phenom II六核X6-1055T盒裝/2.8G(Turbo 3.3GHz)/L2+L3=9MB, $4500 ★ 熱賣
AMD AM3 Phenom II六核X6-1075T盒裝/3.0G(Turbo 3.5GHz)【紅綠配享優惠】, $4990 ★
AMD AM3 Phenom II六核X6-1090T黑盒裝/3.2G(Turbo 3.6GHz)【紅綠配享優惠】, $5400 ★
AMD AM3 Phenom II六核X6-1100T黑盒裝/3.3G(Turbo 3.7GHz)【紅綠配享優惠】, $5990 ★

AMD A6-3500 三核心 2.4GHz+HD6530顯示 【紅綠配享優惠】, $2850 ★
AMD A6-3650 四核心 2.6GHz+HD6530顯示 【紅綠配享優惠】, $3750 ★
AMD A8-3850 四核心 2.9GHz+HD6550顯示 【紅綠配享優惠】, $4100 ★



篩選條件：清除


廠牌：

Intel
AMD
腳座：

775
1366
1155
1156
AM3
FM1




12345678910"
