"共有商品 52 樣，熱賣 6，圖片 52，討論 14，價格異動 21

Intel 第三代Celeron G1620雙核 2.7GHZ/55W/2M快取, $1380 ★
Intel 第三代Pentium G2030雙核 3.0GHZ/55W/3M快取, $1800↘$1780 ★
Intel 第三代Pentium G2120雙核 3.1GHZ/55W/3M快取, $1990↘$1980 ★
Intel 第三代Pentium G2130雙核 3.2GHZ/55W/3M快取, $2190↘$2180 ★
Intel 第三代Core I3-3220雙核 3.3GHz/55W/22nm/HD2500, $3470 ◆ ★
Intel 第三代Core I3-3240雙核 3.4GHz/55W/22nm/HD2500, $3630↘$3600 ◆ ★
Intel 第三代Core I5-3470四核 3.2GHz(Turbo 3.6GHz)/HD2500, $5850 ★
Intel 第三代Core I5-3470四核 3.2GHz(Turbo 3.6GHz)/HD2500(搭機價), $5800 ★
Intel 第三代Core I5-3570K四核 3.4GHz(Turbo 3.8GHz)/HD4000, $6900 ★
Intel 第三代Core I7-3770四核 3.4GHz(Turbo 3.9GHz)/HD4000, $8800 ★
Intel 第三代Core I7-3770K四核 3.5GHz(Turbo 3.9GHz)/HD4000, $9800 ◆ ★

Intel Xeon E3-1230V2 4C8T/3.3GHz(Turbo 3.7G) /22nm/L3 8Mb, $6950↘$6900 ★

Intel 第四代Core I5-4430四核 3.0GHz(Turbo 3.2GHz)/HD4600, $5650 ★
Intel 第四代Core I5-4570四核 3.2GHz(Turbo 3.6GHz)/HD4600, $6170↘$6150 ★
Intel 第四代Core I5-4670四核 3.4GHz(Turbo 3.8GHz)/HD4600, $6780↘$6750 ★
Intel 第四代Core I5-4670K四核 3.4GHz(Turbo 3.8GHz)/HD4600, $7350 ★
Intel 第四代Core I7-4770四核 3.4GHz(Turbo 3.9GHz)/HD4600, $9380 ★
Intel 第四代Core I7-4770K四核 3.5GHz(Turbo 3.9GHz)/HD4600, $10350 ★

Intel Haswell Xeon E3-1230V3 4C8T/3.3GHz(Turbo 3.7G) /22nm/L3 8Mb, $7650 ★

Intel Core I7-3820 四核 3.6GHz(Turbo 3.8GHz)/32nm/L3 10Mb, $9350 ★
Intel Core I7-3930K 六核 3.2GHz(Turbo 3.8GHz)/32nm/L3 12Mb, $17600 ◆ ★
Intel Core I7-3970X 六核 3.5GHz(Turbo 4.0GHz)/32nm/L3 15Mb, $31800 ◆ ★

Intel Xeon E5-2620 六核 2.0GHz(Turbo 2.5GHz)/32nm/L3 15Mb, $12500 ★

AMD AM3 Sempron 145單核/2.8G/45W/45nm/L2 Cache 1MB, $980↘$950 ★
AMD AM3 Sempron 190雙核/2.5G/45W/45nm/L2 Cache 1MB, $1150 ★
AMD AM3 AthlonII X2-270雙核/3.4G/65W/45nm/L2 Cache 1MB*2, $1399↘$1330 ★

AMD Bulldozer FX-4100四核 /3.6G(Turbo 3.8G)/95W, $2700 ★ 熱賣
AMD Bulldozer FX-4130四核 /3.6G(Turbo 3.9G)/125W, $2950 ★
AMD Bulldozer FX-4170四核 /4.2G(Turbo 4.3G)/125W, $3380 ★
AMD Bulldozer FX-8150八核 /3.6G(Turbo 4.2G)/125W, $4999 ★ 熱賣
AMD Piledriver-打樁機 FX4300四核/3.8G(Turbo 4.0G)/95W/L3快取4MB, $3150 ★ 熱賣
AMD Piledriver-打樁機 FX4350四核/4.2G(Turbo 4.3G)/125W/L3快取8MB, $3680 ★
AMD Piledriver-打樁機 FX6300六核/3.5G(Turbo 4.1G)/95W/L3快取8MB~加送SimCity兌換券~, $3200 ★ 熱賣
AMD Piledriver-打樁機 FX6350六核/3.9G(Turbo 4.2G)/125W/L3快取8MB~加送SimCity兌換券~, $3990 ★
AMD Piledriver-打樁機 FX8320八核/3.5G(Turbo 4.0G)/125W/L3快取8MB~加送SimCity兌換券~, $4400 ★ 熱賣
AMD Piledriver-打樁機 FX8350八核/4.0G(Turbo 4.2G)/125W/L3快取8MB~加送SimCity兌換券~, $5450 ★ 熱賣
AMD Piledriver-打樁機 FX9370八核/4.4G(Turbo 4.7G)/220W/L3快取8MB~加送SimCity兌換券~, $10800 ★
AMD Piledriver-打樁機 FX9590八核/4.7G(Turbo 5.0G)/220W/L3快取8MB~加送SimCity兌換券~, $26800 ★

AMD A4-3400 雙核心 2.7GHz+HD6410, $1100 ★

X2-340 雙核心 3.2G(Turbo 3.6G)/65W/32奈米 ~加送SimCity遊戲序號卡!, $1150↘$1100 ◆ ★
X2-370K 雙核心 4.0G(Turbo 4.2G)/65W/32奈米 ~加送SimCity遊戲序號卡!, $1580↘$1550 ◆ ★
A4-4000 雙核心 3.0G+HD7480D(Turbo 3.2G)/65W/32奈米 ~加送SimCity遊戲序號卡!, $1230↘$1200 ◆ ★
A4-5300 雙核心 3.4G+HD7480D(Turbo 3.6G)/65W/32奈米 ~加送SimCity遊戲序號卡!, $1330 ◆ ★
A6-5400K 雙核心 3.6G+HD7540D(Turbo 3.8G)/65W/32奈米 ~加送SimCity遊戲序號卡!, $1850↘$1790 ◆ ★
A6-6400K 雙核心 3.9G+HD8470D(Turbo 4.1G)/65W/32奈米 ~加送SimCity遊戲序號卡!, $2180↘$2050 ★
X4-740 四核心 3.2G(Turbo 3.7G)/65W/32奈米/無內建顯示 ~加送SimCity遊戲序號卡!, $1999↘$1930 ★
X4-750K 四核心 3.4G(Turbo 4.0G)/100W/32奈米(超頻)/無內建顯示 ~加送SimCity遊戲序號卡!, $2150↘$2090 ◆ ★
A8-5600K 四核心 3.6G+HD7560D(Turbo 3.9G)/100W/32奈米(超頻) ~加送SimCity遊戲序號卡!, $2850↘$2780 ◆ ★
A8-6600K 四核心 3.9G+HD8570D(Turbo 4.2G)/100W/32奈米(超頻) ~加送SimCity遊戲序號卡!, $3450↘$3350 ◆ ★
A10-5700 四核心 3.4G+HD7660D(Turbo 4.0G)/65W/32奈米 ~加送SimCity遊戲序號卡!, $3550↘$3490 ★
A10-5800K 四核心 3.8G+HD7660D(Turbo 4.2G)/100W/32奈米(超頻) ~加送SimCity遊戲序號卡!, $3600↘$3500 ◆ ★
A10-6800K 四核心 4.1G+HD8670D(Turbo 4.4G)/100W/32奈米(超頻) ~加送SimCity遊戲序號卡!, $4380↘$4200 ★



篩選條件：清除

 
廠牌：

Intel
AMD
腳座：

1150
1155
2011

AM3
AM3+

FM1
FM2




12345678910"
